country,iso3,cpi_score,gdp_per_capita
Eritrea,ERI,21,NA
Iraq,IRQ,21,11362.6914755367
Afghanistan,AFG,19,2156.41948202725
Burundi,BDI,19,784.92698867139
Congo,COG,19,3835.66258234277
Guinea Bissau,GNB,19,2077.40166918098
Turkmenistan,TKM,19,NA
Democratic Republic of the Congo,COD,18,1146.53586681718
Haiti,HTI,18,3034.01211008755
"Korea, North",PRK,18,NA
Libya,LBY,17,15845.6599284929
Equatorial Guinea,GNQ,16,19379.2424653675
Sudan,SDN,16,4122.52668491946
Venezuela,VEN,15,NA
Yemen,YEM,15,NA
Syria,SYR,14,NA
Somalia,SOM,12,NA
South Sudan,SSD,12,NA
